index,Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),LongRun(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_LapTime(s),Longest_Stint,Tyre,Starting_Grid_Position,Season_Points,Season_Average_Finish,Team,Constructor_Position,Driver_DNF_Rate,Team_DNF_Rate,Team_Average_Finish,Rolling_Team_Performance,Qualifying_Time(s),Final_Standing,Season,Round
1,ALO,87.794,87.372,98.94,,31.875,42.21564,28.2524,98.509571428,13.0,MEDIUM,,41.0,10.0,Aston Martin,5.0,,,,,,,2024,12
2,BEA,88.536,,,,,,,,,,,6.0,7.0,Ferrari,2.0,,,,,,,2024,12
3,BOT,88.254,87.381,100.242,,32.908538461,43.2035,29.1999375,104.758461538,7.0,HARD,,0.0,16.0,Kick Sauber,10.0,,,,,,,2024,12
4,COL,89.078,,,,,,,,,,,,,,,,,,,,,2024,12
5,DOO,88.735,,,,,,,,,,,,,,,,,,,,,2024,12
6,HAD,89.27,,,,,,,,,,,,,,,,,,,,,2024,12
7,HAM,87.858,87.202,97.564,,36.34290909,46.907307692,31.210384615,96.736705882,10.0,SOFT,,75.0,7.454545454545454,Mercedes,4.0,,,,,,,2024,12
8,HUL,88.082,86.99,99.34,,34.299954545,43.219961538,29.62076923,106.662772727,9.0,SOFT,,12.0,11.363636363636363,Haas F1 Team,7.0,,,,,,,2024,12
9,LEC,87.903,87.15,98.454,92.275666666,33.477130434,43.023703703,30.263666666,103.325636363,11.0,MEDIUM,,136.0,5.363636363636363,Ferrari,2.0,,,,,,,2024,12
10,NOR,87.42,86.549,97.714,91.929875,31.228434782,41.350384615,27.437192307,99.11473913,13.0,MEDIUM,,147.0,5.0,McLaren,3.0,,,,,,,2024,12
11,OCO,87.974,87.743,100.43,,33.7243125,43.340526315,30.263368421,103.770733333,7.0,MEDIUM,,3.0,13.181818181818182,Alpine,8.0,,,,,,,2024,12
12,PIA,87.631,86.88,96.654,92.1366,33.232238095,40.391,28.068458333,98.16475,8.0,MEDIUM,,100.0,5.909090909090909,McLaren,3.0,,,,,,,2024,12
13,RIC,88.477,87.916,100.823,,36.339571428,42.61096,29.40548,105.0032,9.0,SOFT,,6.0,13.636363636363637,RB,6.0,,,,,,,2024,12
14,RUS,87.738,87.294,97.529,92.1515,36.577590909,44.730346153,29.560653846,101.668157894,10.0,SOFT,,105.0,6.2727272727272725,Mercedes,4.0,,,,,,,2024,12
15,SAI,87.925,87.249,98.139,,36.603037037,42.789806451,27.923548387,106.625888888,8.0,MEDIUM,,123.0,5.0,Ferrari,2.0,,,,,,,2024,12
16,STR,87.554,87.274,99.7,,33.604,44.828238095,30.12147619,97.5196,8.0,SOFT,,17.0,12.363636363636363,Aston Martin,5.0,,,,,,,2024,12
17,TSU,89.864,87.745,99.82,,35.855590909,44.5325,28.784846153,104.08155,9.0,MEDIUM,,18.0,12.454545454545455,RB,6.0,,,,,,,2024,12
18,VER,87.729,87.233,98.393,92.03775,30.129470588,38.961047619,28.138666666,95.744647058,13.0,MEDIUM,,213.0,3.5454545454545454,Red Bull Racing,1.0,,,,,,,2024,12
19,ZHO,88.59,87.813,101.785,,32.15775,45.428210526,30.095368421,106.820625,8.0,MEDIUM,,0.0,15.090909090909092,Kick Sauber,10.0,,,,,,,2024,12
0,ALB,79.794,78.514,76.661,,34.623578947,34.322,26.861863636,95.421631578,13.0,MEDIUM,,4.0,14.583333333333334,Williams,9,,,,,,,2024,13
1,ALO,79.686,78.519,77.001,,34.1463,35.527043478,28.586954545,96.051263157,12.0,MEDIUM,,45.0,9.833333333333334,Aston Martin,5,,,,,,,2024,13
2,BEA,80.371,,,,,,,,,,,6.0,7.0,Ferrari,2,,,,,,,2024,13
3,BOT,79.804,78.586,76.804,,36.058681818,35.10724,29.51084,100.539727272,9.0,MEDIUM,,0.0,15.916666666666666,Kick Sauber,10,,,,,,,2024,13
4,GAS,79.976,78.888,77.499,,40.217333333,37.185608695,28.324086956,98.519166666,9.0,MEDIUM,,6.0,13.833333333333334,Alpine,8,,,,,,,2024,13
5,HAM,79.287,78.363,76.786,,39.266117647,35.83155,27.80015,92.916666666,12.0,SOFT,,100.0,6.916666666666667,Mercedes,4,,,,,,,2024,13
6,LEC,79.011,79.286,76.803,,42.384571428,39.217142857,32.209857142,115.380333333,5.0,MEDIUM,,136.0,6.083333333333333,Ferrari,2,,,,,,,2024,13
7,MAG,80.295,78.315,77.507,,38.787285714,37.090086956,28.140173913,93.435388888,13.0,MEDIUM,,5.0,13.583333333333334,Haas F1 Team,7,,,,,,,2024,13
8,NOR,79.211,77.788,76.098,,34.206142857,32.2795,28.254458333,94.068285714,10.0,HARD,,162.0,4.833333333333333,McLaren,3,,,,,,,2024,13
9,OCO,80.023,78.754,77.575,,37.10590909,36.662791666,29.303958333,103.026619047,10.0,MEDIUM,,3.0,13.416666666666666,Alpine,8,,,,,,,2024,13
10,PER,79.44,78.255,76.954,,38.916263157,37.17990909,29.588727272,96.454058823,10.0,MEDIUM,,105.0,7.833333333333333,Red Bull Racing,1,,,,,,,2024,13
11,PIA,79.249,78.618,76.142,,35.555555555,34.642523809,28.781857142,98.319666666,6.0,HARD,,112.0,5.75,McLaren,3,,,,,,,2024,13
12,RIC,79.578,78.371,76.652,,31.6021875,34.13885,28.2372,92.2895625,12.0,MEDIUM,,6.0,13.583333333333334,RB,6,,,,,,,2024,13
13,RUS,79.137,78.294,76.564,,35.014058823,34.65965,29.2211,91.6252,12.0,MEDIUM,,105.0,7.333333333333333,Mercedes,4,,,,,,,2024,13
14,SAI,78.713,78.185,76.639,,35.43045,33.658652173,27.735521739,91.979,14.0,MEDIUM,,134.0,5.0,Ferrari,2,,,,,,,2024,13
15,SAR,79.885,78.611,77.168,,35.412277777,34.450333333,26.985523809,96.102777777,12.0,MEDIUM,,0.0,17.272727272727273,Williams,9,,,,,,,2024,13
16,STR,79.265,79.179,77.085,,33.67090909,38.444291666,29.725625,101.954428571,11.0,SOFT,,23.0,11.916666666666666,Aston Martin,5,,,,,,,2024,13
17,TSU,79.26,79.606,76.744,,40.0608,40.403153846,33.003846153,97.604,5.0,SOFT,,19.0,12.25,RB,6,,,,,,,2024,13
18,VER,78.989,78.031,76.379,,36.302529411,34.10005,26.7017,92.451625,11.0,MEDIUM,,231.0,3.4166666666666665,Red Bull Racing,1,,,,,,,2024,13
19,ZHO,79.18,80.067,77.291,,34.877181818,36.42444,29.102,98.7909,14.0,MEDIUM,,0.0,15.333333333333334,Kick Sauber,10,,,,,,,2024,13
0,ALB,104.099,103.892,127.443,,35.7942,54.810304347,33.613826086,112.1923125,12,MEDIUM,,4.0,14.538461538461538,Williams,9,,,,,,,2024,14
1,ALO,104.921,103.538,128.071,,36.248142857,56.057391304,36.751916666,113.567666666,10,MEDIUM,,45.0,9.923076923076923,Aston Martin,5,,,,,,,2024,14
2,BOT,105.155,103.675,126.492,,34.298142857,56.981166666,35.810791666,116.215111111,12,MEDIUM,,0.0,15.923076923076923,Kick Sauber,10,,,,,,,2024,14
3,GAS,104.833,103.829,123.175,,44.66595238,57.04475,34.854083333,110.150416666,6,MEDIUM,,6.0,14.307692307692308,Alpine,8,,,,,,,2024,14
4,HAM,104.279,103.519,126.751,,37.96690909,54.907956521,36.12984,115.029944444,12,SOFT,,115.0,6.615384615384615,Mercedes,4,,,,,,,2024,14
5,HUL,105.645,103.846,128.04,,35.202777777,54.407857142,33.942,114.3054375,12,HARD,,20.0,11.076923076923077,Haas F1 Team,7,,,,,,,2024,14
6,LEC,104.306,102.837,126.033,,36.01295,53.700869565,34.263913043,114.970529411,9,SOFT,,148.0,5.923076923076923,Ferrari,3,,,,,,,2024,14
7,MAG,105.812,103.485,,,36.996833333,54.001368421,35.489714285,113.039642857,11,SOFT,,5.0,13.692307692307692,Haas F1 Team,7,,,,,,,2024,14
8,NOR,104.415,102.26,123.372,,34.870928571,53.919,36.542473684,113.357,8,SOFT,,180.0,4.615384615384615,McLaren,2,,,,,,,2024,14
9,PER,104.329,103.504,127.103,,35.83395,54.060166666,33.912833333,113.223705882,15,MEDIUM,,111.0,7.769230769230769,Red Bull Racing,1,,,,,,,2024,14
10,PIA,103.903,102.475,122.998,109.0258,34.66375,51.055217391,32.087347826,112.134666666,10,MEDIUM,,137.0,5.384615384615385,McLaren,2,,,,,,,2024,14
11,RIC,104.95,103.823,128.41,,37.490882352,55.203666666,35.124904761,112.830833333,7,SOFT,,6.0,13.461538461538462,RB,6,,,,,,,2024,14
12,RUS,104.225,103.29,,,37.42895238,55.176304347,34.164083333,113.864647058,14,MEDIUM,,110.0,7.384615384615385,Mercedes,4,,,,,,,2024,14
13,SAI,104.574,103.098,,,37.3665,54.35608,35.03784,114.831611111,11,MEDIUM,,142.0,5.083333333333333,Ferrari,3,,,,,,,2024,14
14,SAR,105.311,104.226,,,35.676571428,53.948333333,33.76575,112.719,8,MEDIUM,,0.0,17.25,Williams,9,,,,,,,2024,14
15,STR,104.699,103.532,126.037,,37.417111111,56.228380952,34.24447619,111.951142857,11,MEDIUM,,24.0,11.76923076923077,Aston Martin,5,,,,,,,2024,14
16,TSU,105.564,104.348,129.444,,35.86875,55.668833333,33.797208333,113.8795,13,MEDIUM,,21.0,12.0,RB,6,,,,,,,2024,14
17,VER,103.372,102.477,121.565,108.8386,36.386260869,52.759423076,33.147384615,115.408095238,10,MEDIUM,,241.0,3.5384615384615383,Red Bull Racing,1,,,,,,,2024,14
18,ZHO,105.995,104.302,,,36.0362,55.885,34.031521739,114.557058823,11,SOFT,,0.0,15.615384615384615,Kick Sauber,10,,,,,,,2024,14
